Market-Week-Year,Uniqueness Score
Hoshangabad-2022-W25,1.8938851712060778
Itarsi-2024-W7,1.8745912162656122
Banapura-2024-W30,1.8744471410506607
Semriharchand-2024-W18,1.8709726462685243
Chaurai-2024-W17,1.8686197088895335
Chhindwara-2023-W51,1.8674726583169543
Chhindwara-2024-W24,1.8621726523106124
Itarsi-2024-W9,1.8577657205183387
Semriharchand-2020-W25,1.8484083045355097
Chaurai-2024-W13,1.847149505083514
Banapura-2024-W39,1.8406458251058635
Itarsi-2024-W15,1.835747782327421
Amarwda-2024-W17,1.8237583332712297
Saunsar-2022-W5,1.804840582428344
Pipariya-2024-W45,1.7861204579455325
Chhindwara-2024-W13,1.7721975172351758
Itarsi-2024-W21,1.757342990338572
Chhindwara-2024-W12,1.73852458240352
Itarsi-2025-W9,1.7300711309872383
Semriharchand-2024-W49,1.7271285227920319
Chhindwara-2024-W18,1.7173766872611642
Hoshangabad-2024-W19,1.7173314292902508
Hoshangabad-2024-W18,1.715776422200522
Chhindwara-2024-W46,1.7154682888130306
Banapura-2022-W1,1.6879669192496356
Saunsar-2024-W18,1.6871072345966056
Itarsi-2024-W1,1.6778858019667682
Banapura-2024-W48,1.6736030241417734
Bankhedi-2024-W18,1.6596710018316487
Chaurai-2024-W18,1.6439784605212238
Itarsi-2024-W32,1.6362133564499663
Saunsar-2022-W26,1.623665495371914
Banapura-2024-W20,1.6232240674658287
Semriharchand-2020-W24,1.5997452975871462
Chaurai-2024-W24,1.5883550572833915
Banapura-2024-W26,1.5689293781023381
Chhindwara-2021-W20,1.5677303241044522
Saunsar-2021-W41,1.5592833324487005
Semriharchand-2024-W17,1.5514699744522347
Semriharchand-2024-W20,1.5403624313597382
Saunsar-2020-W19,1.538984741632063
Pipariya-2024-W23,1.533901220460467
Semriharchand-2020-W42,1.5104811043267525
Banapura-2024-W51,1.5072027979824147
Banapura-2021-W30,1.5063097036853457
Banapura-2024-W45,1.4637042721875675
Semriharchand-2021-W45,1.4487524156832776
Banapura-2022-W46,1.4380283076425375
Chaurai-2024-W36,1.437346179229627
Chhindwara-2024-W3,1.436020057716708
Semriharchand-2024-W21,1.430475637810851
Banapura-2024-W50,1.4192758287091551
Chaurai-2024-W22,1.4185552811256723
Itarsi-2024-W22,1.4010380579580028
Banapura-2024-W24,1.3986954164604024
Itarsi-2024-W46,1.3946639796013671
Banapura-2024-W14,1.3834165361791864
Saunsar-2022-W20,1.3815065326228457
Chhindwara-2024-W6,1.3768878002683904
Hoshangabad-2025-W2,1.3748213409874257
Chaurai-2024-W33,1.3681261306979806
Semriharchand-2024-W24,1.3615962874934222
Banapura-2024-W23,1.345840524427202
Chhindwara-2021-W24,1.3372989429307498
Pipariya-2024-W27,1.3218900296288714
Banapura-2024-W49,1.3015094509036251
Babai-2024-W39,1.2974457949074352
Semriharchand-2024-W16,1.2896995978134616
Itarsi-2024-W52,1.28424773304927
Semriharchand-2024-W51,1.2695307098237596
Banapura-2021-W45,1.240265833860583
Semriharchand-2024-W44,1.2394829204324183
Hoshangabad-2024-W14,1.2338304709416694
Banapura-2024-W16,1.2315865472052014
Semriharchand-2021-W31,1.2256656221115114
Pipariya-2024-W17,1.2173654082349956
Babai-2025-W9,1.214873217665501
Chaurai-2025-W5,1.2145624268061388
Chhindwara-2025-W5,1.2110492656851355
Chhindwara-2024-W36,1.1984378135988518
Hoshangabad-2024-W13,1.1971793597293305
Pipariya-2024-W13,1.1953839203065508
Semriharchand-2024-W42,1.1937353134530115
Hoshangabad-2024-W15,1.1922165341198487
Banapura-2024-W52,1.1905092091152865
Banapura-2024-W15,1.1724710181584213
Amarwda-2024-W14,1.1567974099451033
Chaurai-2024-W23,1.1549963976749982
Chaurai-2024-W1,1.1435263100971027
Chaurai-2025-W2,1.1431328749493752
Banapura-2024-W22,1.1267556525000488
Pipariya-2024-W24,1.123035504985019
Itarsi-2024-W42,1.1037281028319315
Itarsi-2025-W6,1.0819554249359222
Chhindwara-2024-W9,1.0744075983999792
Banapura-2024-W11,1.0535932973662412
Semriharchand-2024-W43,1.0508199763314723
Banapura-2024-W7,1.0332386467722272
Bankhedi-2024-W12,1.0265724625784112
Chhindwara-2023-W52,1.0166173696087832
Amarwda-2024-W21,1.0107587802392373
Semriharchand-2020-W35,1.009142038459064
Chaurai-2025-W7,0.9979008827157616
Hoshangabad-2022-W19,0.9978733853319668
Hoshangabad-2024-W12,0.9819761831325792
Chaurai-2024-W49,0.9819491704735911
Banapura-2024-W28,0.9759974915559821
Chhindwara-2024-W8,0.9721060821924944
Chhindwara-2025-W3,0.9687948760038964
Chaurai-2024-W10,0.9661793675574037
Banapura-2021-W12,0.9568590133125087
Banapura-2024-W46,0.9557557647156959
Hoshangabad-2022-W4,0.9515983714278518
Semriharchand-2024-W48,0.945044544521466
Chhindwara-2024-W39,0.9289263419707827
Chaurai-2024-W19,0.9266826218830999
Bankhedi-2024-W49,0.9247630821120715
Banapura-2024-W41,0.9238892583213069
Semriharchand-2021-W37,0.9091134973253516
Pipariya-2024-W12,0.9078739023092327
Hoshangabad-2024-W26,0.9075398977186825
Chaurai-2024-W45,0.9029831254299735
Chaurai-2024-W50,0.9000368387936993
Itarsi-2024-W43,0.8997184299013522
Saunsar-2022-W22,0.8947458506980009
Banapura-2024-W34,0.8740993474935629
Itarsi-2024-W35,0.8620267753974784
Semriharchand-2024-W14,0.8580504784225257
Banapura-2022-W30,0.8547310007614929
Hoshangabad-2024-W39,0.8511814827671944
Itarsi-2024-W14,0.8193392710291695
Chhindwara-2024-W41,0.8113362536716939
Saunsar-2019-W46,0.7928858605986047
Semriharchand-2024-W19,0.7887025820151629
Itarsi-2024-W41,0.7820624609350667
Babai-2024-W21,0.7810443350685444
Chhindwara-2025-W6,0.7800307794019458
Hoshangabad-2024-W43,0.7634521490532307
Chaurai-2024-W12,0.7622787287768492
Chhindwara-2024-W43,0.7575781797504996
Amarwda-2024-W29,0.7537464762555255
Semriharchand-2024-W47,0.7524092542907691
Chhindwara-2024-W37,0.7285003070131394
Itarsi-2024-W23,0.7282598531107235
Chaurai-2024-W11,0.7132645940211834
Saunsar-2024-W31,0.7115020737846083
Chhindwara-2024-W25,0.7095740489724496
Bankhedi-2024-W50,0.7083765747506032
Semriharchand-2022-W6,0.7046101398158647
Itarsi-2024-W34,0.7009391110876886
Pipariya-2024-W8,0.6972560965008231
Chhindwara-2024-W15,0.6767882160639069
Hoshangabad-2024-W40,0.6684467580081458
Amarwda-2024-W16,0.6641822009580962
Saunsar-2022-W19,0.6485117111675245
Amarwda-2024-W28,0.6454684085063077
Itarsi-2024-W16,0.6430455177117272
Itarsi-2024-W11,0.6424359331277538
Amarwda-2024-W25,0.6315780626195066
Banapura-2024-W40,0.625272402929494
Chaurai-2024-W32,0.6250061948460592
Itarsi-2024-W13,0.6181073845680095
Semriharchand-2025-W3,0.616451038408908
Semriharchand-2020-W23,0.6161256235882964
Semriharchand-2021-W25,0.6038706393581278
Itarsi-2024-W45,0.6033894760013653
Hoshangabad-2024-W49,0.6019159317277145
Itarsi-2024-W19,0.6009103928208233
Saunsar-2022-W17,0.5970486203075263
Amarwda-2021-W41,0.596824058073487
Itarsi-2024-W8,0.5937245721528313
Chaurai-2024-W44,0.590179477117522
Semriharchand-2021-W34,0.5827657854129221
Chaurai-2024-W43,0.5819337026372235
Itarsi-2024-W12,0.5745279879852107
Chaurai-2024-W42,0.5714174850325534
Semriharchand-2020-W52,0.5639852119162384
Banapura-2025-W1,0.5622152668301483
Chhindwara-2024-W50,0.5599051668836535
Banapura-2024-W21,0.5584510872858657
Itarsi-2024-W40,0.5497465516049228
Banapura-2024-W33,0.5422385690068596
Babai-2024-W15,0.5414610819546192
Banapura-2025-W5,0.5398706035794506
Itarsi-2024-W17,0.5381394757440304
Banapura-2025-W4,0.5348634036333042
Banapura-2024-W6,0.5319525348868592
Chaurai-2024-W21,0.5179736264067923
Saunsar-2024-W23,0.5174992236577455
Chaurai-2024-W16,0.5137931088581684
Hoshangabad-2023-W40,0.49923507284593227
Chaurai-2024-W26,0.4985730133218374
Banapura-2025-W3,0.4915009794387437
Banapura-2024-W17,0.48122896585831293
Itarsi-2024-W33,0.47931134333753367
Itarsi-2025-W2,0.4783344473448296
Semriharchand-2021-W7,0.47705306144243825
Pipariya-2024-W18,0.4752118626940292
Chaurai-2024-W40,0.474884682110832
Pandhurna-2024-W10,0.46452206705366306
Hoshangabad-2024-W25,0.45669980903139046
Itarsi-2024-W38,0.4488582611957609
Hoshangabad-2021-W17,0.44713804178674177
Hoshangabad-2024-W17,0.43737348827479977
Chhindwara-2024-W2,0.433500448838605
Chhindwara-2024-W26,0.4279880113741986
Banapura-2024-W25,0.42643180474624115
Semriharchand-2024-W34,0.42338558255705905
Saunsar-2021-W50,0.4198646747455758
Chaurai-2024-W15,0.4088864248668996
Chhindwara-2021-W23,0.40747290920234297
Amarwda-2024-W22,0.40683222609582925
Banapura-2024-W36,0.3976606105242139
Pipariya-2024-W5,0.39576472083181546
Chaurai-2024-W9,0.39387250044134064
Chhindwara-2024-W47,0.3776047285950859
Chhindwara-2021-W21,0.37617452914305083
Chhindwara-2024-W32,0.3720375128599047
Semriharchand-2024-W22,0.3700009635033063
Amarwda-2024-W23,0.36902970475652236
Hoshangabad-2022-W13,0.36127043431091854
Banapura-2024-W27,0.3558530603286683
Pipariya-2024-W49,0.3540328863384673
Chhindwara-2024-W38,0.3392441056455774
Saunsar-2022-W25,0.33169079049963074
Babai-2024-W35,0.33126461907787247
Banapura-2023-W4,0.3221932615173768
Banapura-2022-W37,0.32151527284307585
Pipariya-2024-W7,0.3152883854836671
Chhindwara-2024-W49,0.30954724124409666
Semriharchand-2020-W12,0.29956663117410204
Semriharchand-2021-W9,0.29923757138683854
Chhindwara-2024-W52,0.29871192630957677
Chhindwara-2025-W2,0.2950855405106575
Pipariya-2023-W51,0.2906107775672486
Chaurai-2024-W8,0.2837194177295919
Saunsar-2021-W37,0.27879613578435414
Hoshangabad-2021-W43,0.2780480084630621
Semriharchand-2020-W49,0.27317820845282403
Chhindwara-2024-W21,0.2646959198478785
Itarsi-2024-W5,0.2613433436485308
Chaurai-2024-W51,0.24640464586239938
Itarsi-2024-W49,0.24259851571902302
Banapura-2024-W12,0.2416067207945085
Banapura-2022-W7,0.22169398827656941
Amarwda-2024-W24,0.22123644780844745
Itarsi-2024-W24,0.21875296907249914
Hoshangabad-2024-W20,0.2182658207791784
Babai-2024-W16,0.2182534037331371
Chaurai-2024-W14,0.21667393660110165
Chhindwara-2024-W33,0.2072283218266727
Chaurai-2024-W52,0.203892327931491
Hoshangabad-2023-W24,0.19656332564390078
Banapura-2024-W18,0.19579691813393355
Chaurai-2024-W20,0.1951027360621405
Itarsi-2025-W3,0.18887695033251056
Itarsi-2024-W26,0.18490164398185197
Chhindwara-2024-W1,0.18418442080134273
Banapura-2024-W13,0.176051009536784
Banapura-2024-W42,0.1726418693667571
Semriharchand-2025-W2,0.17102983600935875
Chhindwara-2024-W10,0.1686910231442421
Itarsi-2024-W48,0.1652425099733958
Chaurai-2024-W25,0.16255058126524397
Banapura-2024-W47,0.15813395007002667
Chaurai-2024-W41,0.15532238376774885
Chaurai-2024-W35,0.15428411807767517
Itarsi-2024-W25,0.15203941398780896
Pipariya-2023-W26,0.1488303446854761
Semriharchand-2020-W26,0.1464238980275342
Chaurai-2025-W3,0.14631437724264487
Bankhedi-2020-W9,0.14481720852626698
Chhindwara-2024-W11,0.14441602924869681
Hoshangabad-2024-W16,0.1399253387085974
Chhindwara-2022-W36,0.1382166959373339
Semriharchand-2021-W50,0.13354383659687416
Chhindwara-2022-W2,0.13030642192932448
Semriharchand-2024-W33,0.13023809754841348
Babai-2023-W24,0.13011192827230791
Saunsar-2022-W3,0.12969581663958368
Pipariya-2020-W3,0.12841859485920518
Chhindwara-2024-W4,0.12818167167140115
Pipariya-2020-W39,0.12817311863761327
Chaurai-2019-W28,0.1271864279615146
Pipariya-2021-W26,0.12635461278237312
Banapura(F&V)-2024-W46,0.1263208102692193
Babai-2024-W47,0.12547387594255463
Chhindwara-2022-W24,0.12537826705265434
Banapura-2021-W40,0.12494747597511077
Babai-2023-W20,0.12475019339001335
Banapura-2023-W7,0.12473099257737416
Amarwda-2020-W26,0.12471434226279016
Itarsi-2024-W39,0.12378987277903185
Itarsi-2024-W47,0.12344395358610938
Itarsi-2021-W7,0.12333038853971603
Semriharchand-2023-W48,0.12274453563743803
Itarsi-2025-W1,0.12237902072106227
Saunsar-2021-W49,0.12221467972760494
Banapura-2020-W49,0.12212716544089819
Semriharchand-2024-W12,0.1218836331068006
Semriharchand-2023-W37,0.12177575847739755
Bankhedi-2020-W38,0.12127051247574006
Banapura-2022-W31,0.12040817955616284
Bankhedi-2024-W20,0.12021843141997372
Bankhedi-2023-W18,0.12008508333348372
Pipariya-2021-W36,0.12006591988125058
Amarwda-2021-W38,0.11985169493309558
Pipariya-2020-W29,0.11947202164539952
Amarwda-2019-W48,0.11943528407581876
Banapura-2023-W44,0.11938543419436966
Pipariya-2022-W26,0.11930961231228543
Bankhedi-2022-W20,0.1192115698383526
Saunsar-2022-W49,0.11918809747911507
Hoshangabad-2022-W37,0.1190005802304982
Hoshangabad-2024-W27,0.11880733968789854
Hoshangabad-2023-W32,0.11876321044263528
Amarwda-2024-W26,0.11866934226923515
Pipariya-2021-W7,0.11855194990405543
Pipariya-2022-W46,0.11832572712401827
Chaurai-2019-W8,0.11828665227768478
Chaurai-2021-W7,0.1181990330808916
Saunsar-2022-W10,0.11806355471454219
Pandhurna-2021-W26,0.11806312056152374
Itarsi-2024-W37,0.11806127407608613
Chaurai-2022-W33,0.11804066377462967
Amarwda-2021-W33,0.1179832436795421
Saunsar-2022-W16,0.11789497265574887
Chhindwara-2020-W51,0.11788762349997758
Pipariya-2023-W33,0.11775613495872198
Banapura-2024-W35,0.11756626253449698
Pipariya-2023-W39,0.11756092130765528
Semriharchand-2023-W38,0.11742322443761385
Banapura-2021-W2,0.11712261014647325
Saunsar-2021-W28,0.11693166766776861
Chhindwara-2020-W43,0.11645599549713684
Bankhedi-2021-W12,0.11632127803290096
Semriharchand-2022-W3,0.11612396967011109
Itarsi-2023-W23,0.11606479015520821
Chaurai-2023-W23,0.1160085159259105
Banapura-2021-W23,0.11598049326177755
Bankhedi-2022-W17,0.11590051666781309
Bankhedi-2020-W5,0.11584788278763147
Babai-2022-W50,0.11583401967462366
Babai-2022-W10,0.11566216614769839
Pipariya-2020-W33,0.11548771029096963
Saunsar-2023-W15,0.11525424058208582
Babai-2022-W4,0.11522826569322492
Hoshangabad-2020-W2,0.11509870974058851
Hoshangabad(F&V)-2024-W43,0.11483819532003418
Chaurai-2024-W39,0.11455237617490384
Itarsi-2022-W51,0.11452415750840798
Pipariya-2023-W2,0.11448384443538288
Bankhedi-2024-W6,0.11443443044765374
Itarsi-2024-W18,0.11442920256006976
Banapura-2021-W24,0.11440234749253336
Banapura-2021-W37,0.11430491004854912
Saunsar-2020-W1,0.11428132735874577
Chhindwara-2024-W34,0.11427552392911706
Itarsi-2021-W50,0.11425494782526387
Semriharchand-2020-W7,0.1140013755756227
Pipariya-2024-W31,0.11391926302434359
Chhindwara-2020-W21,0.11388736390809175
Banapura-2020-W41,0.11380211016315953
Chhindwara-2020-W10,0.11377463354961705
Chhindwara-2023-W47,0.11360951132439803
Hoshangabad-2023-W17,0.11351232935205162
Pipariya-2024-W22,0.1134705407342331
Hoshangabad-2022-W1,0.11339635220230992
Chaurai-2023-W8,0.11335473919895539
Babai-2022-W38,0.11334716062158619
Itarsi-2020-W12,0.11323936978230632
Banapura-2020-W37,0.11305810480198482
Bankhedi-2022-W42,0.11295216228354713
Hoshangabad-2023-W12,0.11294249396846828
Itarsi-2022-W4,0.11292414453817685
Pipariya-2022-W31,0.11291989982994954
Semriharchand-2022-W21,0.1127576056473951
Saunsar-2019-W11,0.1127077750996587
Babai-2023-W29,0.1127026932048767
Pipariya-2020-W45,0.11267178888247019
Amarwda-2022-W20,0.11266166622295307
Bankhedi-2022-W43,0.11255053564780512
Chhindwara-2021-W29,0.11248098209585748
Bankhedi-2021-W35,0.11242973541229631
Pipariya-2025-W7,0.11240723070995337
Bankhedi-2024-W21,0.1122771332765361
Babai-2021-W6,0.11222757339718198
Hoshangabad-2021-W18,0.11200682078399082
Semriharchand-2024-W50,0.11199518782278618
Pandhurna-2023-W13,0.11192563191403743
Chhindwara-2022-W31,0.11192379764251639
Chhindwara-2021-W5,0.11190782826848837
Banapura-2022-W29,0.11190195387153312
Hoshangabad-2020-W5,0.11186821871620575
Pipariya-2021-W3,0.11186755631262875
Babai-2020-W38,0.11185530509217789
Babai-2023-W49,0.11174779392100076
Hoshangabad-2021-W32,0.11173943835284557
Chhindwara-2019-W15,0.11173145382847352
Chaurai-2021-W51,0.111724011826887
Semriharchand-2020-W28,0.11164446618826133
Banapura(F&V)-2024-W49,0.11162545835884427
Amarwda-2024-W13,0.11152953460630154
Bankhedi-2020-W7,0.11150428598953709
Itarsi-2020-W22,0.11143555476862879
Chaurai-2019-W27,0.11137864547883482
Amarwda-2020-W21,0.11136649818988523
Chaurai-2022-W9,0.11133844427229624
Babai-2023-W7,0.11126700910840574
Hoshangabad-2021-W3,0.1111796370473759
Hoshangabad-2024-W28,0.11116683644556034
Semriharchand-2024-W28,0.11116211275207245
Chaurai-2022-W48,0.11113727291326356
Chhindwara-2023-W32,0.11112968754490488
Chaurai-2019-W33,0.11112444393247475
Itarsi-2022-W42,0.11108665567867146
Pipariya-2022-W43,0.1110314305987385
Itarsi-2023-W4,0.11099241824641747
Banapura-2022-W48,0.11086650874202696
Hoshangabad-2023-W45,0.11077782626567359
Amarwda-2021-W37,0.11071816361977684
Bankhedi-2021-W37,0.11069524640250566
Hoshangabad-2024-W37,0.11065014961728481
Chhindwara-2020-W2,0.11063429352045137
Saunsar-2021-W46,0.11050083814625407
Saunsar-2019-W13,0.11047632994249294
Itarsi-2022-W22,0.11037214614776808
Bankhedi-2021-W14,0.11032469028499095
Pandhurna-2022-W37,0.11032188012924182
Banapura-2024-W9,0.11030701561663461
Chhindwara-2025-W1,0.11026652514872862
Chhindwara-2019-W7,0.1102616737473758
Bankhedi-2023-W31,0.11022870919683354
Babai-2023-W6,0.11012745655368307
Saunsar-2022-W37,0.11012051576845992
Semriharchand-2020-W37,0.11011408404477982
Bankhedi-2022-W47,0.11004214957890177
Babai-2023-W9,0.11001965668192132
Babai-2022-W25,0.10997957123605395
Pipariya-2025-W4,0.10994608264782077
Chaurai-2020-W24,0.10991691304589986
Pipariya-2021-W38,0.10991197798245096
Amarwda-2023-W31,0.10977457667920525
Amarwda-2023-W21,0.109763057503118
Hoshangabad-2023-W47,0.10969702917435037
Amarwda-2023-W23,0.10968534766213953
Bankhedi-2020-W26,0.10964124924763514
Amarwda-2022-W28,0.10958390213104938
Itarsi-2021-W41,0.1095255644074405
Pandhurna-2019-W35,0.10947400932399168
Itarsi-2020-W39,0.10943692169832153
Semriharchand-2023-W18,0.10943078006667305
Itarsi-2023-W9,0.10942912275340272
Itarsi-2023-W27,0.10940582440947971
Chhindwara-2021-W43,0.10934676266481004
Bankhedi-2021-W10,0.10928045524322036
Itarsi-2023-W6,0.10926459202653127
Semriharchand-2022-W37,0.10924986696096597
Chaurai-2021-W46,0.10924265319669164
Banapura-2020-W44,0.10921684485205795
Itarsi-2023-W42,0.10919386421217915
Itarsi-2023-W8,0.1091400022166862
Pandhurna-2021-W45,0.10913119158030643
Chhindwara-2023-W25,0.10912147367967909
Chaurai-2023-W51,0.10909868125098089
Chhindwara-2024-W45,0.10905457623781438
Semriharchand-2023-W41,0.10903856812919538
Hoshangabad-2020-W3,0.10900085475965532
Semriharchand-2023-W24,0.10893123011488438
Chhindwara-2023-W31,0.10893074777827735
Pipariya-2023-W44,0.10892044524232739
Babai-2020-W30,0.10889804128478323
Chhindwara-2024-W20,0.10887901324015578
Babai-2022-W44,0.10879486850356064
Itarsi-2021-W31,0.10877632295473964
Babai-2022-W5,0.10873223651280667
Semriharchand-2022-W10,0.10870628429672659
Pipariya-2022-W25,0.10868135365330328
Pipariya-2020-W26,0.10860368121638489
Bankhedi-2020-W37,0.10860253138958144
Chhindwara-2021-W28,0.10859854019133307
Saunsar-2021-W8,0.1085800959389408
Itarsi-2022-W40,0.10851235033739959
Pandhurna-2024-W22,0.10851019194994481
Babai-2023-W34,0.10848484127701526
Chaurai-2022-W28,0.10846884497931114
Bankhedi-2021-W24,0.10843976344877221
Semriharchand-2022-W30,0.10841527458532606
Amarwda-2021-W28,0.1084053854361558
Chaurai-2021-W30,0.10839521737817401
Itarsi-2021-W48,0.10838896532641998
Sounsar(F&V)-2024-W45,0.10837149927127973
Babai-2022-W49,0.10832506043954039
Chaurai-2023-W49,0.10831130626175836
Pandhurna-2021-W11,0.1083102807849617
Pipariya-2023-W34,0.10828274938577616
Saunsar-2021-W25,0.10826155561757209
Chhindwara-2020-W9,0.1082467864467797
Chhindwara-2023-W28,0.10824675953708188
Pipariya-2022-W38,0.1082408663757906
Itarsi-2022-W8,0.10820685676321608
Banapura-2023-W49,0.10818671856299951
Saunsar-2021-W38,0.10816244171693215
Chaurai-2024-W37,0.10815007832773617
Semriharchand-2022-W14,0.10808642523685141
Saunsar-2021-W30,0.10802886385234732
Chaurai-2023-W20,0.10795768180245424
Chaurai-2022-W19,0.10795525850633007
Banapura-2023-W14,0.10790426024858737
Bankhedi-2023-W10,0.10784702692658688
Bankhedi-2024-W38,0.10784427531351633
Chhindwara-2021-W6,0.10781351434590494
Pipariya-2024-W11,0.10779450929785099
Chhindwara-2021-W31,0.10774463117736355
Itarsi-2025-W7,0.10769643633987547
Itarsi-2022-W1,0.10769411980264458
Banapura-2024-W10,0.1076868632471194
Amarwda-2019-W3,0.1075833498108117
Pipariya-2020-W28,0.10756485885435275
Banapura-2022-W28,0.10749104232510552
Bankhedi-2024-W47,0.10748754152868004
Saunsar-2021-W32,0.10746381325729876
Saunsar-2021-W16,0.10745861690059051
Saunsar-2020-W4,0.10745749164299993
Banapura-2020-W38,0.10740745037612506
